Updated On,Total Doses Administered
03/06/2021,126200.0
04/06/2021,126713.0
05/06/2021,127194.0
06/06/2021,127202.0
07/06/2021,127759.0
08/06/2021,128195.0
09/06/2021,128498.0
10/06/2021,129402.0
11/06/2021,130173.0
12/06/2021,131060.0
13/06/2021,131063.0
14/06/2021,132004.0
15/06/2021,132939.0
16/06/2021,133931.0
17/06/2021,134897.0
18/06/2021,135850.0
19/06/2021,136707.0
20/06/2021,136708.0
21/06/2021,137495.0
22/06/2021,140296.0
23/06/2021,144234.0
24/06/2021,149318.0
25/06/2021,154100.0
26/06/2021,159630.0
27/06/2021,161325.0
28/06/2021,165921.0
29/06/2021,171590.0
30/06/2021,176293.0
01/07/2021,178502.0
02/07/2021,181221.0
03/07/2021,184103.0
04/07/2021,184515.0
05/07/2021,189428.0
06/07/2021,196475.0
07/07/2021,
08/07/2021,
09/07/2021,
10/07/2021,
11/07/2021,
12/07/2021,
13/07/2021,
14/07/2021,
15/07/2021,
16/01/2021,4216.0
17/01/2021,9251.0
18/01/2021,12234.0
19/01/2021,25539.0
20/01/2021,35901.0
21/01/2021,45040.0
22/01/2021,55697.0
23/01/2021,70380.0
24/01/2021,74221.0
25/01/2021,89879.0
26/01/2021,90616.0
27/01/2021,107999.0
28/01/2021,117543.0
29/01/2021,124647.0
30/01/2021,133571.0
31/01/2021,133623.0
01/02/2021,133642.0
02/02/2021,133646.0
03/02/2021,161302.0
04/02/2021,188704.0
05/02/2021,218899.0
06/02/2021,245938.0
07/02/2021,249205.0
08/02/2021,263588.0
09/02/2021,275654.0
10/02/2021,286401.0
11/02/2021,294574.0
12/02/2021,303031.0
13/02/2021,319740.0
14/02/2021,319743.0
15/02/2021,345830.0
16/02/2021,370880.0
17/02/2021,402851.0
18/02/2021,414038.0
19/02/2021,476505.0
20/02/2021,501288.0
21/02/2021,509044.0
22/02/2021,534507.0
23/02/2021,559483.0
24/02/2021,596327.0
25/02/2021,639187.0
26/02/2021,673767.0
27/02/2021,673767.0
28/02/2021,673767.0
01/03/2021,673767.0
02/03/2021,702035.0
03/03/2021,724119.0
04/03/2021,749445.0
05/03/2021,785259.0
06/03/2021,836177.0
07/03/2021,836337.0
